,ProductId,ProductName,Branch,level_1,level_2,level_3,Image,ProductUrl,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
6569,5028459-EA-000NW,Hello Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028459.png,www.ishopnewworld.co.nz/product/5028459_ea_000nw?name=magazine,7.99,ea,False,No,7.99,0.0,0.0,No
6570,5028470-EA-000NW,Australian Men's Health Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028470.png,www.ishopnewworld.co.nz/product/5028470_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6571,5028482-EA-000NW,CO Linseed Rich Natural Wood Oil,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Furniture & Metal Polishes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028482.png,www.ishopnewworld.co.nz/product/5028482_ea_000nw?name=linseed-rich-natural-wood-oil,7.99,ea,False,No,7.99,0.0,0.0,No
6572,5028519-EA-000NW,Finish Dishwasher Cleaner,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Dishwasher Rinse & Clean,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028519.png,www.ishopnewworld.co.nz/product/5028519_ea_000nw?name=dishwasher-cleaner,8.99,ea,False,No,8.99,0.0,0.0,No
6573,5028578-EA-000NW,Bic White-Out Quick Dry Correction Fluid,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Stationery & Craft,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028578.png,www.ishopnewworld.co.nz/product/5028578_ea_000nw?name=white-out-quick-dry-correction-fluid,3.29,ea,False,No,3.29,0.0,0.0,No
6574,5028790-EA-000NW,Energizer Ultimate AAA Lithium Battery,New World Mt Roskill,"Kitchen, Dining & Household",Household,Batteries & Light Bulbs,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028790.png,www.ishopnewworld.co.nz/product/5028790_ea_000nw?name=ultimate-aaa-lithium-battery,14.99,ea,False,No,14.99,0.0,0.0,No
6575,5028824-EA-000NW,Sistema TO GO Triple Split To Go with Yoghurt Pot Lunchbox 2l,New World Mt Roskill,"Kitchen, Dining & Household",Household,Food Storage,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028824.png,www.ishopnewworld.co.nz/product/5028824_ea_000nw?name=triple-split-to-go-with-yoghurt-pot-lunchbox-2l,15.99,ea,False,No,15.99,0.0,0.0,No
6576,5028874-EA-000NW,Dot's Clean N Shine Furniture Polish,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Furniture & Metal Polishes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028874.png,www.ishopnewworld.co.nz/product/5028874_ea_000nw?name=clean-n-shine-furniture-polish,4.99,ea,False,No,4.99,0.0,0.0,No
6577,5029559-EA-000NW,Sabco Nail Brush,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029559.png,www.ishopnewworld.co.nz/product/5029559_ea_000nw?name=nail-brush,2.79,ea,False,No,2.79,0.0,0.0,No
6578,5029713-EA-000NW,Weight Watchers Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029713.png,www.ishopnewworld.co.nz/product/5029713_ea_000nw?name=magazine,7.2,ea,False,No,7.2,0.0,0.0,No
6579,5029747-EA-000NW,New Scientist Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029747.png,www.ishopnewworld.co.nz/product/5029747_ea_000nw?name=magazine,9.5,ea,False,No,9.5,0.0,0.0,No
6580,5029752-EA-000NW,Sparkle World Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029752.png,www.ishopnewworld.co.nz/product/5029752_ea_000nw?name=magazine,9.9,ea,False,No,9.9,0.0,0.0,No
6581,5029798-EA-000NW,That's Life Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029798.png,www.ishopnewworld.co.nz/product/5029798_ea_000nw?name=magazine,3.7,ea,False,No,3.7,0.0,0.0,No
6582,5029799-EA-000NW,Next Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029799.png,www.ishopnewworld.co.nz/product/5029799_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6583,5029860-EA-000NW,Taste Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029860.png,www.ishopnewworld.co.nz/product/5029860_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6584,5029864-EA-000NW,Lucky Break Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029864.png,www.ishopnewworld.co.nz/product/5029864_ea_000nw?name=magazine,3.7,ea,False,No,3.7,0.0,0.0,No
6585,5029939-EA-000NW,Time Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029939.png,www.ishopnewworld.co.nz/product/5029939_ea_000nw?name=magazine,10.0,ea,False,No,10.0,0.0,0.0,No
6586,5029943-EA-000NW,Australian Women's Weekly New Zealand Edition Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029943.png,www.ishopnewworld.co.nz/product/5029943_ea_000nw?name=new-zealand-edition-magazine,8.8,ea,False,No,8.8,0.0,0.0,No
6587,5029945-EA-000NW,International Express New Zealand Edition Newspaper,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Newspapers,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029945.png,www.ishopnewworld.co.nz/product/5029945_ea_000nw?name=new-zealand-edition-newspaper,9.5,ea,False,No,9.5,0.0,0.0,No
6588,5029946-EA-000NW,Your Home And Garden Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5029946.png,www.ishopnewworld.co.nz/product/5029946_ea_000nw?name=magazine,8.8,ea,False,No,8.8,0.0,0.0,No
6589,5030099-EA-000NW,Energizer A27 12V Battery,New World Mt Roskill,"Kitchen, Dining & Household",Household,Batteries & Light Bulbs,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030099.png,www.ishopnewworld.co.nz/product/5030099_ea_000nw?name=a27-12v-battery,4.49,ea,False,No,4.49,0.0,0.0,No
6590,5030135-EA-000NW,Vogue Australia Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030135.png,www.ishopnewworld.co.nz/product/5030135_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6591,5030197-EA-000NW,Chux Heavy Duty Superwipes On A Roll,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030197.png,www.ishopnewworld.co.nz/product/5030197_ea_000nw?name=heavy-duty-superwipes-on-a-roll,7.49,ea,False,No,7.49,7.49,1.0,Saver
6592,5030376-EA-000NW,Pams White Eucalyptus 2 Ply Facial Tissues,New World Mt Roskill,"Kitchen, Dining & Household",Household,Tissues & Toilet Paper,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030376.png,www.ishopnewworld.co.nz/product/5030376_ea_000nw?name=white-eucalyptus-2-ply-facial-tissues,2.29,ea,False,No,2.29,2.29,1.0,Saver
6593,5030382-EA-000NW,Pams White Aloe Vera 2 Ply Facial Tissues,New World Mt Roskill,"Kitchen, Dining & Household",Household,Tissues & Toilet Paper,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030382.png,www.ishopnewworld.co.nz/product/5030382_ea_000nw?name=white-aloe-vera-2-ply-facial-tissues,2.29,ea,False,No,2.29,2.29,1.0,Saver
6594,5030614-EA-000NW,Wiltshire Fusion Can Opener,New World Mt Roskill,"Kitchen, Dining & Household",Household,Kitchenware,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030614.png,www.ishopnewworld.co.nz/product/5030614_ea_000nw?name=fusion-can-opener,8.99,ea,False,No,8.99,0.0,0.0,No
6595,5030627-EA-000NW,Mono Heavy Duty Foil 300mm Wide,New World Mt Roskill,"Kitchen, Dining & Household",Household,Food Wraps & Bags,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5030627.png,www.ishopnewworld.co.nz/product/5030627_ea_000nw?name=heavy-duty-foil-300mm-wide,6.39,ea,False,No,6.39,0.0,0.0,No
